Inital State,Search Objective,Path,Cost,Generated Nodes,Visited Nodes,Algorithm,Cost Function,Heuristic
"(20, 12)","(3, 13)","[(20, 12), (19, 12), (18, 12), (17, 12), (16, 12), (15, 12), (14, 12), (13, 12), (12, 12), (11, 12), (10, 12), (9, 12), (8, 12), (7, 12), (6, 12), (5, 12), (4, 12), (3, 12), (3, 13)]",220,1116,542,BFS,c3,h1
"(20, 12)","(3, 13)","[(20, 12), (19, 12), (18, 12), (17, 12), (16, 12), (15, 12), (14, 12), (13, 12), (12, 12), (11, 12), (10, 12), (9, 12), (8, 12), (7, 12), (6, 12), (5, 12), (4, 12), (3, 12), (3, 13)]",168,1116,542,BFS,c4,h1
"(27, 29)","(29, 2)","[(27, 29), (28, 29), (29, 29), (29, 28), (29, 27), (29, 26), (29, 25), (29, 24), (29, 23), (29, 22), (29, 21), (29, 20), (29, 19), (29, 18), (29, 17), (29, 16), (29, 15), (29, 14), (29, 13), (29, 12), (29, 11), (29, 10), (29, 9), (29, 8), (29, 7), (29, 6), (29, 5), (29, 4), (29, 3), (29, 2)]",290,1147,575,BFS,c1,h1
"(27, 29)","(29, 2)","[(27, 29), (28, 29), (29, 29), (29, 28), (29, 27), (29, 26), (29, 25), (29, 24), (29, 23), (29, 22), (29, 21), (29, 20), (29, 19), (29, 18), (29, 17), (29, 16), (29, 15), (29, 14), (29, 13), (29, 12), (29, 11), (29, 10), (29, 9), (29, 8), (29, 7), (29, 6), (29, 5), (29, 4), (29, 3), (29, 2)]",300,1147,575,BFS,c2,h1
"(27, 29)","(29, 2)","[(27, 29), (28, 29), (29, 29), (29, 28), (29, 27), (29, 26), (29, 25), (29, 24), (29, 23), (29, 22), (29, 21), (29, 20), (29, 19), (29, 18), (29, 17), (29, 16), (29, 15), (29, 14), (29, 13), (29, 12), (29, 11), (29, 10), (29, 9), (29, 8), (29, 7), (29, 6), (29, 5), (29, 4), (29, 3), (29, 2)]",297,1147,575,BFS,c3,h1
"(27, 29)","(29, 2)","[(27, 29), (28, 29), (29, 29), (29, 28), (29, 27), (29, 26), (29, 25), (29, 24), (29, 23), (29, 22), (29, 21), (29, 20), (29, 19), (29, 18), (29, 17), (29, 16), (29, 15), (29, 14), (29, 13), (29, 12), (29, 11), (29, 10), (29, 9), (29, 8), (29, 7), (29, 6), (29, 5), (29, 4), (29, 3), (29, 2)]",297,1147,575,BFS,c4,h1
"(0, 14)","(24, 20)","[(0, 14), (1, 14), (2, 14), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14), (13, 14), (14, 14), (15, 14), (16, 14), (17, 14), (18, 14), (19, 14), (20, 14), (21, 14), (22, 14), (23, 14), (24, 14), (24, 15), (24, 16), (24, 17), (24, 18), (24, 19), (24, 20)]",300,1403,702,BFS,c1,h1
"(0, 14)","(24, 20)","[(0, 14), (1, 14), (2, 14), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14), (13, 14), (14, 14), (15, 14), (16, 14), (17, 14), (18, 14), (19, 14), (20, 14), (21, 14), (22, 14), (23, 14), (24, 14), (24, 15), (24, 16), (24, 17), (24, 18), (24, 19), (24, 20)]",420,1403,702,BFS,c2,h1
"(0, 14)","(24, 20)","[(0, 14), (1, 14), (2, 14), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14), (13, 14), (14, 14), (15, 14), (16, 14), (17, 14), (18, 14), (19, 14), (20, 14), (21, 14), (22, 14), (23, 14), (24, 14), (24, 15), (24, 16), (24, 17), (24, 18), (24, 19), (24, 20)]",356,1403,702,BFS,c3,h1
"(0, 14)","(24, 20)","[(0, 14), (1, 14), (2, 14), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (8, 14), (9, 14), (10, 14), (11, 14), (12, 14), (13, 14), (14, 14), (15, 14), (16, 14), (17, 14), (18, 14), (19, 14), (20, 14), (21, 14), (22, 14), (23, 14), (24, 14), (24, 15), (24, 16), (24, 17), (24, 18), (24, 19), (24, 20)]",286,1403,702,BFS,c4,h1
"(23, 17)","(19, 26)","[(23, 17), (22, 17), (21, 17), (20, 17), (19, 17), (19, 18), (19, 19), (19, 20), (19, 21), (19, 22), (19, 23), (19, 24), (19, 25), (19, 26)]",130,648,307,BFS,c1,h1
"(23, 17)","(19, 26)","[(23, 17), (22, 17), (21, 17), (20, 17), (19, 17), (19, 18), (19, 19), (19, 20), (19, 21), (19, 22), (19, 23), (19, 24), (19, 25), (19, 26)]",150,648,307,BFS,c2,h1
"(23, 17)","(19, 26)","[(23, 17), (22, 17), (21, 17), (20, 17), (19, 17), (19, 18), (19, 19), (19, 20), (19, 21), (19, 22), (19, 23), (19, 24), (19, 25), (19, 26)]",140,648,307,BFS,c3,h1
"(23, 17)","(19, 26)","[(23, 17), (22, 17), (21, 17), (20, 17), (19, 17), (19, 18), (19, 19), (19, 20), (19, 21), (19, 22), (19, 23), (19, 24), (19, 25), (19, 26)]",140,648,307,BFS,c4,h1
"(16, 27)","(29, 25)","[(16, 27), (17, 27), (18, 27), (19, 27), (20, 27), (21, 27), (22, 27), (23, 27), (24, 27), (25, 27), (26, 27), (27, 27), (28, 27), (29, 27), (29, 26), (29, 25)]",150,662,321,BFS,c1,h1
"(16, 27)","(29, 25)","[(16, 27), (17, 27), (18, 27), (19, 27), (20, 27), (21, 27), (22, 27), (23, 27), (24, 27), (25, 27), (26, 27), (27, 27), (28, 27), (29, 27), (29, 26), (29, 25)]",215,662,321,BFS,c2,h1
"(16, 27)","(29, 25)","[(16, 27), (17, 27), (18, 27), (19, 27), (20, 27), (21, 27), (22, 27), (23, 27), (24, 27), (25, 27), (26, 27), (27, 27), (28, 27), (29, 27), (29, 26), (29, 25)]",178,662,321,BFS,c3,h1
"(16, 27)","(29, 25)","[(16, 27), (17, 27), (18, 27), (19, 27), (20, 27), (21, 27), (22, 27), (23, 27), (24, 27), (25, 27), (26, 27), (27, 27), (28, 27), (29, 27), (29, 26), (29, 25)]",136,662,321,BFS,c4,h1
"(28, 21)","(11, 9)","[(28, 21), (27, 21), (26, 21), (25, 21), (24, 21), (23, 21), (22, 21), (21, 21), (20, 21), (19, 21), (18, 21), (17, 21), (16, 21), (15, 21), (14, 21), (13, 21), (12, 21), (11, 21), (11, 20), (11, 19), (11, 18), (11, 17), (11, 16), (11, 15), (11, 14), (11, 13), (11, 12), (11, 11), (11, 10), (11, 9)]",290,1406,706,BFS,c1,h1
"(28, 21)","(11, 9)","[(28, 21), (27, 21), (26, 21), (25, 21), (24, 21), (23, 21), (22, 21), (21, 21), (20, 21), (19, 21), (18, 21), (17, 21), (16, 21), (15, 21), (14, 21), (13, 21), (12, 21), (11, 21), (11, 20), (11, 19), (11, 18), (11, 17), (11, 16), (11, 15), (11, 14), (11, 13), (11, 12), (11, 11), (11, 10), (11, 9)]",375,1406,706,BFS,c2,h1
"(28, 21)","(11, 9)","[(28, 21), (27, 21), (26, 21), (25, 21), (24, 21), (23, 21), (22, 21), (21, 21), (20, 21), (19, 21), (18, 21), (17, 21), (16, 21), (15, 21), (14, 21), (13, 21), (12, 21), (11, 21), (11, 20), (11, 19), (11, 18), (11, 17), (11, 16), (11, 15), (11, 14), (11, 13), (11, 12), (11, 11), (11, 10), (11, 9)]",330,1406,706,BFS,c3,h1
"(28, 21)","(11, 9)","[(28, 21), (27, 21), (26, 21), (25, 21), (24, 21), (23, 21), (22, 21), (21, 21), (20, 21), (19, 21), (18, 21), (17, 21), (16, 21), (15, 21), (14, 21), (13, 21), (12, 21), (11, 21), (11, 20), (11, 19), (11, 18), (11, 17), (11, 16), (11, 15), (11, 14), (11, 13), (11, 12), (11, 11), (11, 10), (11, 9)]",278,1406,706,BFS,c4,h1
