Inital State,Search Objective,Path,Cost,Generated Nodes,Visited Nodes,Algorithm,Cost Function,Heuristic
"(18, 26)","(3, 21)","[(18, 26), (18, 25), (17, 25), (16, 25), (15, 25), (14, 25), (13, 25), (12, 25), (11, 25), (11, 24), (11, 23), (10, 23), (9, 23), (8, 23), (7, 23), (7, 22), (7, 21), (6, 21), (5, 21), (4, 21), (3, 21)]",224,613,155,A_Star,c3,h1
"(18, 26)","(3, 21)","[(18, 26), (17, 26), (16, 26), (15, 26), (14, 26), (13, 26), (12, 26), (11, 26), (10, 26), (9, 26), (8, 26), (7, 26), (6, 26), (5, 26), (4, 26), (3, 26), (3, 25), (3, 24), (3, 23), (3, 22), (3, 21)]",185,357,90,A_Star,c4,h1
"(18, 26)","(3, 21)","[(18, 26), (18, 25), (17, 25), (16, 25), (15, 25), (14, 25), (13, 25), (13, 24), (12, 24), (11, 24), (10, 24), (10, 23), (9, 23), (8, 23), (7, 23), (6, 23), (5, 23), (4, 23), (4, 22), (4, 21), (3, 21)]",200,277,70,A_Star,c1,h2
"(18, 26)","(3, 21)","[(18, 26), (17, 26), (16, 26), (15, 26), (15, 25), (15, 24), (14, 24), (13, 24), (12, 24), (11, 24), (10, 24), (10, 23), (9, 23), (9, 22), (8, 22), (8, 21), (7, 21), (6, 21), (5, 21), (4, 21), (3, 21)]",275,649,163,A_Star,c2,h2
"(18, 26)","(3, 21)","[(18, 26), (18, 25), (17, 25), (16, 25), (15, 25), (14, 25), (13, 25), (12, 25), (11, 25), (11, 24), (11, 23), (10, 23), (9, 23), (8, 23), (7, 23), (7, 22), (7, 21), (6, 21), (5, 21), (4, 21), (3, 21)]",224,373,94,A_Star,c3,h2
"(18, 26)","(3, 21)","[(18, 26), (18, 25), (18, 24), (18, 23), (18, 22), (17, 22), (16, 22), (15, 22), (14, 22), (13, 22), (12, 22), (11, 22), (10, 22), (9, 22), (8, 22), (7, 22), (6, 22), (5, 22), (4, 22), (3, 22), (3, 21)]",185,117,30,A_Star,c4,h2
"(30, 1)","(18, 3)","[(30, 1), (29, 1), (28, 1), (27, 1), (26, 1), (25, 1), (24, 1), (24, 2), (23, 2), (22, 2), (21, 2), (20, 2), (19, 2), (19, 3), (18, 3)]",140,165,45,A_Star,c1,h1
"(30, 1)","(18, 3)","[(30, 1), (29, 1), (28, 1), (27, 1), (26, 1), (25, 1), (24, 1), (23, 1), (22, 1), (21, 1), (20, 1), (20, 2), (19, 2), (18, 2), (18, 3)]",200,285,77,A_Star,c2,h1
"(30, 1)","(18, 3)","[(30, 1), (29, 1), (28, 1), (27, 1), (26, 1), (25, 1), (24, 1), (23, 1), (22, 1), (22, 2), (22, 3), (21, 3), (20, 3), (19, 3), (18, 3)]",162,202,55,A_Star,c3,h1
"(30, 1)","(18, 3)","[(30, 1), (29, 1), (28, 1), (27, 1), (26, 1), (25, 1), (24, 1), (23, 1), (22, 1), (21, 1), (20, 1), (19, 1), (18, 1), (18, 2), (18, 3)]",128,67,18,A_Star,c4,h1
