Inital State,Search Objective,Path,Cost,Generated Nodes,Visited Nodes,Algorithm,Cost Function,Heuristic
"(23, 3)","(16, 29)","[(23, 3), (22, 3), (21, 3), (20, 3), (19, 3), (18, 3), (17, 3), (16, 3), (16, 4), (16, 5), (16, 6), (16, 7), (16, 8), (16, 9), (16, 10), (16, 11), (16, 12), (16, 13), (16, 14), (16, 15), (16, 16), (16, 17), (16, 18), (16, 19), (16, 20), (16, 21), (16, 22), (16, 23), (16, 24), (16, 25), (16, 26), (16, 27), (16, 28), (16, 29)]",337,133,34,Greedy,c4,h2
"(16, 21)","(17, 26)","[(16, 21), (16, 22), (16, 23), (16, 24), (16, 25), (17, 25), (17, 26)]",60,25,7,Greedy,c1,h1
"(16, 21)","(17, 26)","[(16, 21), (16, 22), (16, 23), (16, 24), (16, 25), (17, 25), (17, 26)]",65,25,7,Greedy,c2,h1
"(16, 21)","(17, 26)","[(16, 21), (16, 22), (16, 23), (16, 24), (16, 25), (17, 25), (17, 26)]",60,25,7,Greedy,c3,h1
"(16, 21)","(17, 26)","[(16, 21), (16, 22), (16, 23), (16, 24), (16, 25), (17, 25), (17, 26)]",60,25,7,Greedy,c4,h1
"(16, 21)","(17, 26)","[(16, 21), (17, 21), (17, 22), (17, 23), (17, 24), (17, 25), (17, 26)]",60,25,7,Greedy,c1,h2
"(16, 21)","(17, 26)","[(16, 21), (17, 21), (17, 22), (17, 23), (17, 24), (17, 25), (17, 26)]",65,25,7,Greedy,c2,h2
"(16, 21)","(17, 26)","[(16, 21), (17, 21), (17, 22), (17, 23), (17, 24), (17, 25), (17, 26)]",64,25,7,Greedy,c3,h2
"(16, 21)","(17, 26)","[(16, 21), (17, 21), (17, 22), (17, 23), (17, 24), (17, 25), (17, 26)]",64,25,7,Greedy,c4,h2
"(16, 16)","(14, 5)","[(16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (16, 11), (16, 10), (16, 9), (16, 8), (16, 7), (15, 7), (15, 6), (14, 6), (14, 5)]",130,53,14,Greedy,c1,h1
"(16, 16)","(14, 5)","[(16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (16, 11), (16, 10), (16, 9), (16, 8), (16, 7), (15, 7), (15, 6), (14, 6), (14, 5)]",140,53,14,Greedy,c2,h1
"(16, 16)","(14, 5)","[(16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (16, 11), (16, 10), (16, 9), (16, 8), (16, 7), (15, 7), (15, 6), (14, 6), (14, 5)]",136,53,14,Greedy,c3,h1
"(16, 16)","(14, 5)","[(16, 16), (16, 15), (16, 14), (16, 13), (16, 12), (16, 11), (16, 10), (16, 9), (16, 8), (16, 7), (15, 7), (15, 6), (14, 6), (14, 5)]",122,53,14,Greedy,c4,h1
"(16, 16)","(14, 5)","[(16, 16), (15, 16), (14, 16), (14, 15), (14, 14), (14, 13), (14, 12), (14, 11), (14, 10), (14, 9), (14, 8), (14, 7), (14, 6), (14, 5)]",130,53,14,Greedy,c1,h2
"(16, 16)","(14, 5)","[(16, 16), (15, 16), (14, 16), (14, 15), (14, 14), (14, 13), (14, 12), (14, 11), (14, 10), (14, 9), (14, 8), (14, 7), (14, 6), (14, 5)]",140,53,14,Greedy,c2,h2
"(16, 16)","(14, 5)","[(16, 16), (15, 16), (14, 16), (14, 15), (14, 14), (14, 13), (14, 12), (14, 11), (14, 10), (14, 9), (14, 8), (14, 7), (14, 6), (14, 5)]",137,53,14,Greedy,c3,h2
"(16, 16)","(14, 5)","[(16, 16), (15, 16), (14, 16), (14, 15), (14, 14), (14, 13), (14, 12), (14, 11), (14, 10), (14, 9), (14, 8), (14, 7), (14, 6), (14, 5)]",137,53,14,Greedy,c4,h2
"(15, 7)","(1, 23)","[(15, 7), (15, 8), (15, 9), (14, 9), (14, 10), (13, 10), (13, 11), (12, 11), (12, 12), (11, 12), (11, 13), (10, 13), (10, 14), (9, 14), (9, 15), (8, 15), (8, 16), (7, 16), (7, 17), (6, 17), (6, 18), (5, 18), (5, 19), (4, 19), (4, 20), (3, 20), (3, 21), (2, 21), (2, 22), (1, 22), (1, 23)]",300,121,31,Greedy,c1,h1
"(15, 7)","(1, 23)","[(15, 7), (15, 8), (15, 9), (14, 9), (14, 10), (13, 10), (13, 11), (12, 11), (12, 12), (11, 12), (11, 13), (10, 13), (10, 14), (9, 14), (9, 15), (8, 15), (8, 16), (7, 16), (7, 17), (6, 17), (6, 18), (5, 18), (5, 19), (4, 19), (4, 20), (3, 20), (3, 21), (2, 21), (2, 22), (1, 22), (1, 23)]",370,121,31,Greedy,c2,h1
"(15, 7)","(1, 23)","[(15, 7), (15, 8), (15, 9), (14, 9), (14, 10), (13, 10), (13, 11), (12, 11), (12, 12), (11, 12), (11, 13), (10, 13), (10, 14), (9, 14), (9, 15), (8, 15), (8, 16), (7, 16), (7, 17), (6, 17), (6, 18), (5, 18), (5, 19), (4, 19), (4, 20), (3, 20), (3, 21), (2, 21), (2, 22), (1, 22), (1, 23)]",326,121,31,Greedy,c3,h1
"(15, 7)","(1, 23)","[(15, 7), (15, 8), (15, 9), (14, 9), (14, 10), (13, 10), (13, 11), (12, 11), (12, 12), (11, 12), (11, 13), (10, 13), (10, 14), (9, 14), (9, 15), (8, 15), (8, 16), (7, 16), (7, 17), (6, 17), (6, 18), (5, 18), (5, 19), (4, 19), (4, 20), (3, 20), (3, 21), (2, 21), (2, 22), (1, 22), (1, 23)]",291,121,31,Greedy,c4,h1
"(15, 7)","(1, 23)","[(15, 7), (14, 7), (13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (2, 7), (1, 7), (1, 8), (1, 9), (1, 10), (1, 11), (1, 12), (1, 13), (1, 14), (1, 15), (1, 16), (1, 17), (1, 18), (1, 19), (1, 20), (1, 21), (1, 22), (1, 23)]",300,121,31,Greedy,c1,h2
"(15, 7)","(1, 23)","[(15, 7), (14, 7), (13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (2, 7), (1, 7), (1, 8), (1, 9), (1, 10), (1, 11), (1, 12), (1, 13), (1, 14), (1, 15), (1, 16), (1, 17), (1, 18), (1, 19), (1, 20), (1, 21), (1, 22), (1, 23)]",370,121,31,Greedy,c2,h2
"(15, 7)","(1, 23)","[(15, 7), (14, 7), (13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (2, 7), (1, 7), (1, 8), (1, 9), (1, 10), (1, 11), (1, 12), (1, 13), (1, 14), (1, 15), (1, 16), (1, 17), (1, 18), (1, 19), (1, 20), (1, 21), (1, 22), (1, 23)]",331,121,31,Greedy,c3,h2
"(15, 7)","(1, 23)","[(15, 7), (14, 7), (13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (6, 7), (5, 7), (4, 7), (3, 7), (2, 7), (1, 7), (1, 8), (1, 9), (1, 10), (1, 11), (1, 12), (1, 13), (1, 14), (1, 15), (1, 16), (1, 17), (1, 18), (1, 19), (1, 20), (1, 21), (1, 22), (1, 23)]",285,121,31,Greedy,c4,h2
"(2, 10)","(5, 25)","[(2, 10), (2, 11), (2, 12), (2, 13), (2, 14), (2, 15), (2, 16), (2, 17), (2, 18), (2, 19), (2, 20), (2, 21), (2, 22), (3, 22), (3, 23), (4, 23), (4, 24), (5, 24), (5, 25)]",180,73,19,Greedy,c1,h1
"(2, 10)","(5, 25)","[(2, 10), (2, 11), (2, 12), (2, 13), (2, 14), (2, 15), (2, 16), (2, 17), (2, 18), (2, 19), (2, 20), (2, 21), (2, 22), (3, 22), (3, 23), (4, 23), (4, 24), (5, 24), (5, 25)]",195,73,19,Greedy,c2,h1
"(2, 10)","(5, 25)","[(2, 10), (2, 11), (2, 12), (2, 13), (2, 14), (2, 15), (2, 16), (2, 17), (2, 18), (2, 19), (2, 20), (2, 21), (2, 22), (3, 22), (3, 23), (4, 23), (4, 24), (5, 24), (5, 25)]",186,73,19,Greedy,c3,h1
"(2, 10)","(5, 25)","[(2, 10), (2, 11), (2, 12), (2, 13), (2, 14), (2, 15), (2, 16), (2, 17), (2, 18), (2, 19), (2, 20), (2, 21), (2, 22), (3, 22), (3, 23), (4, 23), (4, 24), (5, 24), (5, 25)]",180,73,19,Greedy,c4,h1
"(2, 10)","(5, 25)","[(2, 10), (3, 10), (4, 10), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14), (5, 15), (5, 16), (5, 17), (5, 18), (5, 19), (5, 20), (5, 21), (5, 22), (5, 23), (5, 24), (5, 25)]",180,73,19,Greedy,c1,h2
"(2, 10)","(5, 25)","[(2, 10), (3, 10), (4, 10), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14), (5, 15), (5, 16), (5, 17), (5, 18), (5, 19), (5, 20), (5, 21), (5, 22), (5, 23), (5, 24), (5, 25)]",195,73,19,Greedy,c2,h2
"(2, 10)","(5, 25)","[(2, 10), (3, 10), (4, 10), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14), (5, 15), (5, 16), (5, 17), (5, 18), (5, 19), (5, 20), (5, 21), (5, 22), (5, 23), (5, 24), (5, 25)]",189,73,19,Greedy,c3,h2
"(2, 10)","(5, 25)","[(2, 10), (3, 10), (4, 10), (5, 10), (5, 11), (5, 12), (5, 13), (5, 14), (5, 15), (5, 16), (5, 17), (5, 18), (5, 19), (5, 20), (5, 21), (5, 22), (5, 23), (5, 24), (5, 25)]",189,73,19,Greedy,c4,h2
"(5, 15)","(24, 20)","[(5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15), (13, 15), (14, 15), (15, 15), (16, 15), (17, 15), (18, 15), (19, 15), (20, 15), (20, 16), (21, 16), (21, 17), (22, 17), (22, 18), (23, 18), (23, 19), (24, 19), (24, 20)]",240,97,25,Greedy,c1,h1
