Inital State,Search Objective,Path,Cost,Generated Nodes,Visited Nodes,Algorithm,Cost Function,Heuristic
"(29, 24)","(4, 2)","[(29, 24), (29, 23), (29, 22), (28, 22), (27, 22), (26, 22), (25, 22), (24, 22), (24, 21), (24, 20), (24, 19), (23, 19), (22, 19), (21, 19), (21, 18), (21, 17), (21, 16), (20, 16), (19, 16), (18, 16), (18, 15), (18, 14), (18, 13), (17, 13), (16, 13), (15, 13), (15, 12), (15, 11), (15, 10), (14, 10), (13, 10), (12, 10), (12, 9), (12, 8), (12, 7), (11, 7), (10, 7), (9, 7), (9, 6), (9, 5), (9, 4), (8, 4), (7, 4), (6, 4), (5, 4), (5, 3), (5, 2), (4, 2)]",497,1819,934,UCS,c3,h1
"(29, 24)","(4, 2)","[(29, 24), (29, 23), (29, 22), (29, 21), (29, 20), (29, 19), (28, 19), (27, 19), (26, 19), (25, 19), (24, 19), (23, 19), (22, 19), (21, 19), (20, 19), (20, 18), (20, 17), (20, 16), (20, 15), (20, 14), (20, 13), (19, 13), (18, 13), (17, 13), (16, 13), (15, 13), (15, 12), (15, 11), (15, 10), (15, 9), (15, 8), (15, 7), (14, 7), (13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (9, 6), (9, 5), (9, 4), (9, 3), (9, 2), (8, 2), (7, 2), (6, 2), (5, 2), (4, 2)]",400,1819,934,UCS,c4,h1
"(25, 5)","(15, 21)","[(25, 5), (24, 5), (23, 5), (22, 5), (21, 5), (20, 5), (19, 5), (19, 6), (19, 7), (19, 8), (18, 8), (17, 8), (16, 8), (16, 9), (16, 10), (16, 11), (16, 12), (16, 13), (16, 14), (16, 15), (16, 16), (15, 16), (15, 17), (15, 18), (15, 19), (15, 20), (15, 21)]",260,1258,627,UCS,c1,h1
"(25, 5)","(15, 21)","[(25, 5), (25, 6), (25, 7), (25, 8), (25, 9), (25, 10), (25, 11), (25, 12), (24, 12), (23, 12), (22, 12), (22, 13), (21, 13), (21, 14), (20, 14), (19, 14), (19, 15), (19, 16), (18, 16), (18, 17), (18, 18), (17, 18), (16, 18), (16, 19), (16, 20), (15, 20), (15, 21)]",310,1159,581,UCS,c2,h1
"(25, 5)","(15, 21)","[(25, 5), (25, 6), (25, 7), (25, 8), (24, 8), (23, 8), (22, 8), (22, 9), (22, 10), (22, 11), (22, 12), (21, 12), (20, 12), (20, 13), (20, 14), (20, 15), (20, 16), (19, 16), (18, 16), (17, 16), (17, 17), (17, 18), (17, 19), (16, 19), (15, 19), (15, 20), (15, 21)]",267,1169,583,UCS,c3,h1
"(25, 5)","(15, 21)","[(25, 5), (25, 6), (25, 7), (25, 8), (25, 9), (25, 10), (25, 11), (24, 11), (23, 11), (22, 11), (21, 11), (20, 11), (19, 11), (18, 11), (18, 12), (18, 13), (18, 14), (18, 15), (18, 16), (18, 17), (18, 18), (17, 18), (16, 18), (15, 18), (15, 19), (15, 20), (15, 21)]",225,1189,592,UCS,c4,h1
"(8, 20)","(9, 18)","[(8, 20), (8, 19), (9, 19), (9, 18)]",30,51,20,UCS,c1,h1
"(8, 20)","(9, 18)","[(8, 20), (8, 19), (8, 18), (9, 18)]",35,47,18,UCS,c2,h1
"(8, 20)","(9, 18)","[(8, 20), (8, 19), (8, 18), (9, 18)]",32,47,18,UCS,c3,h1
"(8, 20)","(9, 18)","[(8, 20), (8, 19), (8, 18), (9, 18)]",32,47,18,UCS,c4,h1
"(9, 18)","(23, 18)","[(9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18)]",140,742,354,UCS,c1,h1
"(9, 18)","(23, 18)","[(9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18)]",210,1044,512,UCS,c2,h1
"(9, 18)","(23, 18)","[(9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18)]",171,960,465,UCS,c3,h1
"(9, 18)","(23, 18)","[(9, 18), (10, 18), (11, 18), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (18, 18), (19, 18), (20, 18), (21, 18), (22, 18), (23, 18)]",125,803,385,UCS,c4,h1
"(25, 4)","(7, 25)","[(25, 4), (24, 4), (23, 4), (22, 4), (21, 4), (20, 4), (19, 4), (18, 4), (17, 4), (16, 4), (15, 4), (14, 4), (13, 4), (12, 4), (11, 4), (10, 4), (10, 5), (10, 6), (10, 7), (9, 7), (9, 8), (9, 9), (9, 10), (9, 11), (9, 12), (9, 13), (9, 14), (9, 15), (9, 16), (9, 17), (8, 17), (8, 18), (8, 19), (8, 20), (8, 21), (8, 22), (7, 22), (7, 23), (7, 24), (7, 25)]",390,1727,883,UCS,c1,h1
